The Chordettes, 'Mr. Sandman'
Johny Cash, 'Folsom Prison Blues'
Link Wray & His Ray Men, 'Rumble'
Dick Dale & HisDelTones, 'Miserlou'
Kinks, 'You Really Got Me'
Astrud Gilberto & Stan Getz, 'The Girl from Ipanema'
Rolling Stones, '(I Can't Get No) Satisfaction'
Beatles, 'Help!'
Ennio Morricone, 'The Ecstasy of Gold'
Mamas and Papas, 'California Dreamin''
The Doors, 'Light My Fire'
Beatles, 'Tomorrow Never Knows'
Velvet Underground, 'Venus in Furs'
Jefferson Airplane, 'White Rabbit'
Jimi Hendrix, 'If 6 Was 9'
Joe Cocker, 'With a Little Help from My Friends'
The Doors, 'Five to One'
The Velvet Underground, 'Pale Blue Eyes'
MC5, 'Kick Out the Jams'
Santana, 'Soul Sacrifice'
The Doors, 'The Soft Parade'
King Crimson, '21st Century Schizoid Man'
The Doors, 'Celebration of the Lizard'
Lou Reed, 'Walk on the Wild Side'
Ramones, 'Blitzkrieg Bop'
Iggy Pop, 'Lust for Life'
Television, 'Marquee Moon'
Talking Heads, 'Psycho Killer'
Tom Waits, 'Blue Valentines'
Clash, 'London Calling'
Joy Division, 'Transmission'
Dead Kennedys, 'California Über Alles'
Tom Waits, 'In Shades'
The Sugar Hill Gang, 'Rapper's Delight'
Pankrti, 'Tovar'ši, jest vam ne verjamem'
The Smiths, 'This Charming Man'
Violent Femmes, 'Blister in the Sun'
Slayer, 'Raining Blood'
Safet Isovic, 'Bosna moja'
Pixies, 'Hey'
Nirvana, 'In Bloom'
Beck, 'Loser'
Nine Inch Nails, 'Closer'
Satyricon, 'Mother North'
Blur, 'Song 2'
The Prodigy, 'Smack My Bitch Up'
Groove Armada, 'Superstylin''
Johny Cash, 'Hurt'
LCD Soundsystem, 'Yeah'
Gustav, 'Linzserenade'
